entry_time,exit_time,type,entry_price,exit_price,pnl,reason,cum_pnl
2026-03-15 13:55:00,2026-03-15 14:00:00,BULL,1565.96,1561.1642857142858,-19.182857142856847,SL,-19.182857142856847
2026-03-15 14:10:00,2026-03-15 14:15:00,BULL,1561.8,1557.0992231101625,-18.803107559349883,SL,-37.98596470220673
2026-03-15 14:20:00,2026-03-15 14:30:00,BULL,1561.71,1557.0190877837626,-18.763648864949573,SL,-56.7496135671563
2026-03-15 14:35:00,2026-03-15 14:50:00,BEAR,1562.86,1567.7833360565137,-19.69334422605516,SL,-76.44295779321146
2026-03-15 14:55:00,2026-03-15 15:30:00,BULL,1573.67,1583.5710532609373,39.60421304374904,TP,-36.83874474946242
2026-03-15 15:35:00,2026-03-15 15:40:00,BULL,1590.02,1600.834590283011,43.25836113204423,TP,6.419616382581808
2026-03-15 15:55:00,2026-03-15 16:05:00,BEAR,1611.33,1600.8439939329164,41.94402426833403,TP,48.36364065091584
2026-03-15 16:20:00,2026-03-15 16:30:00,BULL,1600.91,1611.6065739250491,42.786295700196206,TP,91.14993635111205
2026-03-15 16:40:00,2026-03-15 16:55:00,BEAR,1614.47,1603.3592868629391,44.442852548243536,TP,135.59278889935558
2026-03-15 17:00:00,2026-03-15 17:15:00,BULL,1605.6,1599.9857716012914,-22.456913594834077,SL,113.1358753045215
2026-03-15 17:30:00,2026-03-15 17:35:00,BULL,1596.92,1607.350946794352,41.72378717740776,TP,154.85966248192926
2026-03-15 17:50:00,2026-03-15 18:00:00,BEAR,1612.04,1601.7614903323229,41.114038670708396,TP,195.97370115263766
2026-03-15 18:05:00,2026-03-15 18:15:00,BEAR,1600.82,1590.1762253134523,42.57509874619063,TP,238.5487998988283
2026-03-15 18:40:00,2026-03-15 18:45:00,BULL,1593.63,1588.142646885818,-21.94941245672817,SL,216.59938744210012
2026-03-15 18:50:00,2026-03-15 19:05:00,BULL,1588.24,1598.3189540599694,40.31581623987768,TP,256.9152036819778
2026-03-15 19:10:00,2026-03-15 19:15:00,BULL,1598.76,1609.1187624663366,41.43504986534663,TP,298.3502535473244
2026-03-15 19:20:00,2026-03-15 19:30:00,BULL,1618.27,1629.6013615143413,45.3254460573653,TP,343.6756996046897
2026-03-15 20:10:00,2026-03-15 20:25:00,BEAR,1642.38,1630.9923447365193,45.55062105392335,TP,389.2263206586131
2026-03-15 20:30:00,2026-03-15 20:50:00,BEAR,1634.14,1622.7752667123002,45.45893315079957,TP,434.68525380941264
2026-03-15 20:55:00,2026-03-15 21:10:00,BULL,1628.75,1622.7827405746616,-23.86903770135359,SL,410.81621610805905
2026-03-15 21:40:00,2026-03-15 22:00:00,BULL,1618.39,1628.8071379270655,41.668551708261475,TP,452.4847678163205
2026-03-15 22:05:00,2026-03-15 22:10:00,BEAR,1630.68,1618.9947302977296,46.741078809081955,TP,499.2258466254025
2026-03-15 22:25:00,2026-03-15 22:35:00,BULL,1613.53,1624.8542565068342,45.29702602733687,TP,544.5228726527394
2026-03-15 22:40:00,2026-03-15 23:45:00,BEAR,1625.19,1631.318378451462,-24.51351380584765,SL,520.0093588468917
2026-03-15 23:50:00,2026-03-16 00:00:00,BULL,1628.43,1622.80645816856,-22.494167325759918,SL,497.5151915211318
2026-03-16 00:30:00,2026-03-16 00:55:00,BULL,1631.52,1642.0404807728578,42.081923091431236,TP,539.597114612563
2026-03-16 01:05:00,2026-03-16 01:20:00,BEAR,1650.82,1640.3197732144088,42.00090714236467,TP,581.5980217549277
2026-03-16 01:25:00,2026-03-16 01:30:00,BEAR,1637.13,1626.3704410864414,43.038235654234995,TP,624.6362574091627
2026-03-16 01:35:00,2026-03-16 01:45:00,BEAR,1629.33,1618.280339508207,44.19864196717208,TP,668.8348993763348
2026-03-16 01:50:00,2026-03-16 02:15:00,BULL,1619.25,1629.7708542640194,42.08341705607745,TP,710.9183164324122
2026-03-16 02:20:00,2026-03-16 02:25:00,BEAR,1628.84,1618.034834559625,43.22066176149929,TP,754.1389781939115
2026-03-16 02:35:00,2026-03-16 02:40:00,BEAR,1617.4,1605.679055221391,46.88377911443604,TP,801.0227573083475
2026-03-16 03:20:00,2026-03-16 03:30:00,BULL,1579.43,1591.2220091004856,47.16803640194212,TP,848.1907937102897
2026-03-16 03:35:00,2026-03-16 03:40:00,BEAR,1585.64,1573.4210911101436,48.87563555942597,TP,897.0664292697156
2026-03-16 04:05:00,2026-03-16 04:25:00,BEAR,1581.31,1587.6062724192627,-25.18508967705111,SL,871.8813395926645
2026-03-16 04:35:00,2026-03-16 05:00:00,BULL,1587.2,1581.4166298438245,-23.133480624702315,SL,848.7478589679622
2026-03-16 05:05:00,2026-03-16 05:15:00,BULL,1583.46,1577.930824835666,-22.11670065733597,SL,826.6311583106262
2026-03-16 05:25:00,2026-03-16 05:30:00,BULL,1585.13,1579.629172626808,-22.003309492768494,SL,804.6278488178577
2026-03-16 05:40:00,2026-03-16 05:45:00,BULL,1577.45,1587.5067127475531,40.22685099021237,TP,844.8546998080701
2026-03-16 05:50:00,2026-03-16 05:55:00,BULL,1589.77,1584.3415348369083,-21.713860652366748,SL,823.1408391557034
2026-03-16 06:15:00,2026-03-16 06:20:00,BULL,1584.53,1594.7581615153401,40.91264606136065,TP,864.053485217064
2026-03-16 06:25:00,2026-03-16 06:40:00,BULL,1595.36,1605.9401800821045,42.32072032841825,TP,906.3742055454823
2026-03-16 06:45:00,2026-03-16 06:50:00,BULL,1606.08,1617.1606815213709,44.32272608548374,TP,950.696931630966
2026-03-16 07:00:00,2026-03-16 07:30:00,BEAR,1617.5,1623.5269620670656,-24.107848268262387,SL,926.5890833627036
2026-03-16 07:50:00,2026-03-16 08:05:00,BEAR,1631.24,1636.9640869314294,-22.896347725717533,SL,903.6927356369861
2026-03-16 08:15:00,2026-03-16 08:20:00,BEAR,1629.49,1635.390500640602,-23.602002562408416,SL,880.0907330745777
2026-03-16 09:30:00,2026-03-16 09:50:00,BEAR,1652.87,1642.4195976867932,41.80160925282689,TP,921.8923423274045
2026-03-16 10:15:00,2026-03-16 10:30:00,BULL,1636.76,1630.8189017646482,-23.764392941407095,SL,898.1279493859975
2026-03-16 10:55:00,2026-03-16 11:10:00,BEAR,1640.71,1646.3636164907114,-22.614465962845316,SL,875.5134834231521
2026-03-16 11:25:00,2026-03-16 11:35:00,BEAR,1650.82,1639.7306368595393,44.357452561842365,TP,919.8709359849945
2026-03-16 11:40:00,2026-03-16 11:50:00,BULL,1636.03,1647.6454893657406,46.461957462962346,TP,966.3328934479568
2026-03-16 12:00:00,2026-03-16 12:05:00,BEAR,1645.08,1633.9093968717482,44.682412513006966,TP,1011.0153059609638
2026-03-16 12:15:00,2026-03-16 12:20:00,BEAR,1637.95,1626.0103275973875,47.75868961045035,TP,1058.7739955714142
2026-03-16 12:30:00,2026-03-16 12:35:00,BULL,1628.25,1622.147211916544,-24.411152333824248,SL,1034.36284323759
2026-03-16 12:40:00,2026-03-16 12:55:00,BULL,1625.01,1636.2542255819437,44.97690232777495,TP,1079.3397455653649
2026-03-16 13:00:00,2026-03-16 13:05:00,BULL,1638.99,1650.4959133914488,46.02365356579503,TP,1125.36339913116
2026-03-16 13:10:00,2026-03-16 13:35:00,BULL,1652.64,1646.5055429214065,-24.537828314374565,SL,1100.8255708167853
2026-03-16 13:40:00,2026-03-16 13:45:00,BULL,1644.39,1655.2728560544144,43.53142421765733,TP,1144.3569950344427
2026-03-16 13:50:00,2026-03-16 14:10:00,BULL,1653.0,1664.001687108143,44.00674843257184,TP,1188.3637434670145
2026-03-16 14:25:00,2026-03-16 14:30:00,BEAR,1666.61,1656.209400837145,41.60239665141944,TP,1229.966140118434
2026-03-16 14:35:00,2026-03-16 14:50:00,BULL,1659.64,1670.0223635638902,41.52945425556027,TP,1271.4955943739942
2026-03-16 15:30:00,2026-03-16 15:35:00,BEAR,1690.32,1678.9583458269128,45.44661669234847,TP,1316.9422110663427
2026-03-16 15:40:00,2026-03-16 15:45:00,BULL,1681.82,1692.7373140574066,43.669256229626626,TP,1360.6114672959693
2026-03-16 16:05:00,2026-03-16 16:10:00,BEAR,1710.87,1716.6781525830243,-23.232610332097465,SL,1337.3788569638718
2026-03-16 16:15:00,2026-03-16 16:20:00,BEAR,1716.69,1722.479236155771,-23.1569446230842,SL,1314.2219123407876
2026-03-16 16:25:00,2026-03-16 16:35:00,BEAR,1720.57,1726.3113949506392,-22.96557980255693,SL,1291.2563325382307
2026-03-16 16:40:00,2026-03-16 17:15:00,BEAR,1729.92,1735.8218876481612,-23.607550592644657,SL,1267.648781945586
2026-03-16 17:20:00,2026-03-16 17:25:00,BEAR,1731.07,1737.1002412727476,-24.120965090990467,SL,1243.5278168545956
2026-03-16 17:30:00,2026-03-16 17:35:00,BEAR,1743.84,1750.5749401790529,-26.939760716211822,SL,1216.5880561383838
2026-03-16 17:40:00,2026-03-16 18:00:00,BEAR,1762.44,1750.1995248546673,48.961900581331065,TP,1265.5499567197148
2026-03-16 18:05:00,2026-03-16 18:10:00,BULL,1747.68,1760.8184748805113,52.55389952204496,TP,1318.1038562417598
2026-03-16 18:20:00,2026-03-16 18:30:00,BEAR,1767.33,1774.4215481789781,-28.366192715912803,SL,1289.737663525847
2026-03-16 18:35:00,2026-03-16 18:55:00,BEAR,1778.76,1786.155472430472,-29.58188972188782,SL,1260.1557738039592
2026-03-16 19:00:00,2026-03-16 19:10:00,BEAR,1786.17,1792.9462913195157,-27.105165278062486,SL,1233.0506085258967
2026-03-16 19:15:00,2026-03-16 19:25:00,BEAR,1793.73,1800.3058507758658,-26.303403103463097,SL,1206.7472054224336
2026-03-16 19:30:00,2026-03-16 20:00:00,BEAR,1796.29,1802.6928158362161,-25.61126334486471,SL,1181.1359420775689
2026-03-16 20:05:00,2026-03-16 20:25:00,BEAR,1801.48,1789.96686792698,46.05252829207984,TP,1227.1884703696487
2026-03-16 20:30:00,2026-03-16 20:40:00,BEAR,1789.47,1778.0255014748548,45.777994100581054,TP,1272.9664644702298
2026-03-16 20:45:00,2026-03-16 20:50:00,BULL,1778.28,1790.4245041034053,48.5780164136213,TP,1321.544480883851
2026-03-16 21:00:00,2026-03-16 21:15:00,BEAR,1790.38,1778.7115169405315,46.673932237874396,TP,1368.2184131217255
2026-03-16 21:25:00,2026-03-16 21:40:00,BEAR,1781.67,1770.3519641879143,45.27214324834313,TP,1413.4905563700686
2026-03-16 22:10:00,2026-03-16 22:15:00,BEAR,1759.51,1764.883225714584,-21.492902858335583,SL,1391.997653511733
2026-03-16 22:20:00,2026-03-16 23:10:00,BEAR,1760.23,1765.442105335534,-20.848421342136135,SL,1371.1492321695969
2026-03-16 23:15:00,2026-03-16 23:20:00,BEAR,1763.58,1752.7740499219015,43.223800312393905,TP,1414.3730324819908
2026-03-16 23:25:00,2026-03-16 23:30:00,BULL,1753.87,1764.6080181795849,42.95207271833988,TP,1457.3251052003307
2026-03-16 23:40:00,2026-03-16 23:50:00,BEAR,1769.52,1759.1859395260392,41.33624189584316,TP,1498.6613470961738
2026-03-17 00:15:00,2026-03-17 00:20:00,BEAR,1759.35,1764.7710266758884,-21.68410670355388,SL,1476.97724039262
2026-03-17 00:25:00,2026-03-17 00:35:00,BEAR,1765.87,1754.7432284930937,44.50708602762461,TP,1521.4843264202445
2026-03-17 00:40:00,2026-03-17 01:05:00,BEAR,1751.85,1757.970561289698,-24.482245158792466,SL,1497.002081261452
2026-03-17 01:50:00,2026-03-17 02:00:00,BEAR,1770.46,1759.4749156018986,43.94033759240574,TP,1540.9424188538578
2026-03-17 02:05:00,2026-03-17 02:10:00,BEAR,1749.21,1755.4644385977124,-25.017754390849404,SL,1515.9246644630084
2026-03-17 02:15:00,2026-03-17 02:25:00,BEAR,1758.43,1747.1639750189202,45.064099924319635,TP,1560.988764387328
2026-03-17 02:30:00,2026-03-17 02:35:00,BEAR,1740.78,1728.8563816022477,47.69447359100923,TP,1608.6832379783373
2026-03-17 02:45:00,2026-03-17 02:55:00,BULL,1730.53,1723.7803022920407,-26.99879083183714,SL,1581.6844471465001
2026-03-17 03:00:00,2026-03-17 03:05:00,BEAR,1735.35,1722.12592628273,52.89629486907961,TP,1634.5807420155797
2026-03-17 03:10:00,2026-03-17 03:20:00,BULL,1730.96,1744.1373186643807,52.709274657522656,TP,1687.2900166731024
2026-03-17 03:25:00,2026-03-17 03:50:00,BULL,1735.74,1748.9689938431648,52.91597537265898,TP,1740.2059920457614
2026-03-17 04:10:00,2026-03-17 04:55:00,BULL,1759.6,1752.6698450897686,-27.72061964092518,SL,1712.4853724048362
2026-03-17 05:00:00,2026-03-17 05:05:00,BEAR,1749.97,1756.574615729816,-26.41846291926413,SL,1686.066909485572
2026-03-17 05:45:00,2026-03-17 06:05:00,BEAR,1761.71,1749.9940215563413,46.863913774634966,TP,1732.930823260207
2026-03-17 06:10:00,2026-03-17 06:15:00,BEAR,1743.95,1750.3786612829942,-25.714645131976795,SL,1707.2161781282302
2026-03-17 06:20:00,2026-03-17 06:50:00,BEAR,1753.57,1759.821447738908,-25.00579095563262,SL,1682.2103871725976
2026-03-17 06:55:00,2026-03-17 07:00:00,BEAR,1755.28,1743.559792579525,46.88082968189974,TP,1729.0912168544974
2026-03-17 07:05:00,2026-03-17 07:45:00,BULL,1742.16,1735.90394208985,-25.024231640600192,SL,1704.0669852138972
2026-03-17 07:55:00,2026-03-17 08:05:00,BULL,1722.49,1734.203457005044,46.85382802017557,TP,1750.9208132340727
2026-03-17 08:35:00,2026-03-17 08:45:00,BEAR,1737.31,1725.5541148636523,47.02354054539046,TP,1797.9443537794632
2026-03-17 09:00:00,2026-03-17 09:20:00,BULL,1721.67,1715.5421438566102,-24.511424573559452,SL,1773.4329292059037
2026-03-17 09:25:00,2026-03-17 09:35:00,BULL,1715.79,1709.8355617756968,-23.817752897212813,SL,1749.615176308691
2026-03-17 10:15:00,2026-03-17 10:20:00,BULL,1673.61,1686.0515210032152,49.76608401286103,TP,1799.381260321552
2026-03-17 10:40:00,2026-03-17 10:50:00,BEAR,1684.33,1670.239437998589,56.36224800564378,TP,1855.7435083271957
2026-03-17 10:55:00,2026-03-17 11:00:00,BEAR,1669.51,1676.9097770558685,-29.599108223474104,SL,1826.1444001037216
2026-03-17 11:10:00,2026-03-17 11:20:00,BULL,1672.02,1684.8962926474444,51.50517058977766,TP,1877.6495706934993
2026-03-17 11:55:00,2026-03-17 12:00:00,BEAR,1691.8,1678.4107926147065,53.55682954117401,TP,1931.2064002346733
2026-03-17 12:05:00,2026-03-17 12:15:00,BEAR,1678.91,1666.4292242443132,49.923103022747455,TP,1981.1295032574208
2026-03-17 12:20:00,2026-03-17 12:45:00,BULL,1664.54,1657.9851221492522,-26.219511402990975,SL,1954.9099918544298
2026-03-17 12:50:00,2026-03-17 13:10:00,BULL,1654.71,1665.8647054368196,44.61882174727816,TP,1999.528813601708
2026-03-17 13:15:00,2026-03-17 13:25:00,BULL,1663.42,1657.3098576793911,-24.440569282435717,SL,1975.0882443192722
2026-03-17 13:35:00,2026-03-17 14:00:00,BULL,1658.52,1670.1921952050004,46.68878082000174,TP,2021.777025139274
2026-03-17 14:55:00,2026-03-17 15:05:00,BEAR,1702.46,1690.9331437909932,46.10742483602735,TP,2067.8844499753013
2026-03-17 15:45:00,2026-03-17 15:50:00,BULL,1696.38,1707.4869748609335,44.42789944373362,TP,2112.312349419035
2026-03-17 15:55:00,2026-03-17 16:10:00,BEAR,1712.34,1700.9452818801135,45.57887247954568,TP,2157.8912218985806
2026-03-17 16:55:00,2026-03-17 17:00:00,BEAR,1710.46,1700.5176889598106,39.76924416075781,TP,2197.6604660593384
2026-03-17 17:10:00,2026-03-17 17:15:00,BEAR,1703.84,1692.9516037334924,43.55358506602988,TP,2241.2140511253683
2026-03-17 17:45:00,2026-03-17 17:55:00,BULL,1676.71,1687.8322903527396,44.48916141095833,TP,2285.7032125363266
2026-03-17 18:15:00,2026-03-17 18:25:00,BEAR,1687.16,1675.6337040036444,46.10518398542263,TP,2331.8083965217493
2026-03-17 18:35:00,2026-03-17 18:40:00,BEAR,1684.08,1671.267388433155,51.25044626737963,TP,2383.058842789129
2026-03-17 19:05:00,2026-03-17 19:15:00,BULL,1655.17,1667.1345866051179,47.85834642047121,TP,2430.9171892096
2026-03-17 19:25:00,2026-03-17 19:30:00,BULL,1668.95,1662.6653074328856,-25.138770268457847,SL,2405.7784189411423
